id,bairro,quartos,preco_noite,avaliacao,ocupacao_pct
1,Barra da Tijuca,5,757,4.58,43.65
2,Leblon,5,491,4.57,32.46
3,Lapa,2,1283,4.83,45.55
4,Barra da Tijuca,3,1113,3.77,34.86
5,Botafogo,3,871,2.96,85.7
6,Lapa,5,1550,3.96,27.86
7,Lapa,2,1718,3.93,96.55
8,Barra da Tijuca,5,226,4.38,53.76
9,Ipanema,4,1589,3.44,83.76
10,Botafogo,4,1043,3.05,49.73
11,Barra da Tijuca,2,201,4.49,25.45
12,Botafogo,4,853,2.9,65.89
13,Botafogo,1,664,3.94,83.52
14,Lapa,1,1435,4.8,48.0
15,Leblon,1,1967,4.46,68.67
16,Botafogo,4,880,4.63,48.75
17,Flamengo,3,1480,3.64,53.37
18,Lapa,1,1316,3.49,69.26
19,Ipanema,5,1814,3.67,87.69
20,Leblon,3,1682,3.51,57.95
21,Flamengo,2,117,2.95,52.75
22,Flamengo,4,1990,3.61,22.63
23,Ipanema,5,190,4.57,92.5
24,Leblon,2,1688,2.93,94.41
25,Lapa,4,534,2.64,89.17
26,Copacabana,4,1161,4.33,59.2
27,Leblon,5,1979,2.66,28.34
28,Ipanema,4,1269,4.17,74.48
29,Flamengo,4,286,4.18,58.54
30,Lapa,4,199,3.03,71.25
31,Leblon,3,812,2.68,31.17
32,Copacabana,1,459,2.57,42.14
33,Copacabana,5,482,4.41,39.09
34,Botafogo,3,1956,4.11,51.72
35,Botafogo,5,1959,3.32,47.14
36,Barra da Tijuca,3,1668,3.57,30.79
37,Ipanema,4,510,3.28,28.18
38,Leblon,4,741,3.85,92.89
39,Leblon,3,1832,2.85,75.55
40,Barra da Tijuca,4,142,3.71,80.96
41,Flamengo,1,1186,3.01,71.02
42,Flamengo,5,792,3.67,86.54
43,Barra da Tijuca,4,278,4.63,58.45
44,Flamengo,2,1334,4.86,84.4
45,Botafogo,3,713,3.0,68.13
46,Leblon,3,1806,3.13,82.75
47,Barra da Tijuca,4,349,4.56,77.98
48,Leblon,3,829,3.84,86.31
49,Copacabana,2,341,2.83,98.56
50,Botafogo,3,889,4.45,85.36
51,Lapa,2,758,4.03,22.77
52,Botafogo,3,1374,4.61,58.19
53,Barra da Tijuca,3,359,3.69,56.97
54,Lapa,2,119,3.49,99.59
55,Copacabana,5,1627,3.1,44.13
56,Barra da Tijuca,1,1274,2.85,75.17
57,Ipanema,2,784,4.37,53.09
58,Leblon,1,1821,2.55,73.32
59,Copacabana,3,425,2.92,36.99
60,Leblon,5,787,2.9,68.36
61,Flamengo,2,1812,4.98,55.53
62,Ipanema,5,336,2.95,51.62
63,Ipanema,2,1289,4.19,85.94
64,Copacabana,4,632,4.0,93.96
65,Ipanema,2,1468,2.58,47.82
66,Lapa,1,1341,4.24,56.8
67,Ipanema,4,574,4.5,59.28
68,Leblon,3,953,2.68,72.68
69,Leblon,2,1292,4.12,60.6
70,Barra da Tijuca,1,693,2.56,52.88
71,Leblon,3,1120,3.42,83.09
72,Barra da Tijuca,1,1787,3.99,77.77
73,Leblon,3,1906,3.59,48.83
74,Lapa,2,1891,2.76,72.92
75,Barra da Tijuca,5,745,4.83,66.11
76,Botafogo,3,478,3.41,84.16
77,Flamengo,5,281,4.21,20.52
78,Copacabana,3,1049,2.67,55.88
79,Leblon,5,204,4.3,43.58
80,Ipanema,2,1180,4.89,44.44
81,Leblon,1,1551,3.97,65.16
82,Ipanema,2,1701,4.24,29.7
83,Flamengo,3,497,3.72,27.92
84,Flamengo,4,761,4.01,47.86
85,Flamengo,1,242,4.87,38.2
86,Ipanema,5,533,3.52,70.65
87,Leblon,1,275,2.62,80.26
88,Flamengo,1,291,4.56,51.22
89,Lapa,2,1107,4.9,23.76
90,Barra da Tijuca,3,1550,2.57,89.11
91,Ipanema,2,368,2.52,69.7
92,Ipanema,3,1934,3.82,55.77
93,Leblon,4,1124,4.12,56.84
94,Ipanema,2,1843,2.69,73.44
95,Ipanema,4,1200,2.59,68.05
96,Flamengo,3,1071,4.93,42.53
97,Leblon,1,735,4.94,71.48
98,Flamengo,4,713,2.99,24.54
99,Barra da Tijuca,4,1930,4.68,48.82
100,Barra da Tijuca,3,1904,4.74,92.59
101,Flamengo,3,821,4.14,38.66
102,Barra da Tijuca,2,619,2.65,53.54
103,Leblon,2,1006,4.47,63.82
104,Copacabana,3,1705,3.01,52.9
105,Flamengo,4,1959,4.88,90.01
106,Lapa,5,1343,4.88,33.99
107,Lapa,2,1811,3.09,45.95
108,Ipanema,3,379,2.97,53.32
109,Barra da Tijuca,5,1720,4.08,96.72
110,Lapa,5,1699,3.39,85.71
111,Ipanema,5,1367,4.52,58.45
112,Copacabana,5,1833,2.85,44.77
113,Leblon,1,828,4.78,99.76
114,Leblon,2,1072,4.92,98.96
115,Leblon,5,1354,3.95,64.03
116,Lapa,5,1908,3.25,61.66
117,Copacabana,3,370,3.85,68.67
118,Lapa,3,1904,3.6,77.7
119,Barra da Tijuca,1,1587,4.6,60.53
120,Lapa,5,1259,2.81,28.8
121,Copacabana,1,649,4.01,64.29
122,Copacabana,3,748,2.59,71.28
123,Barra da Tijuca,2,1497,3.72,69.15
124,Copacabana,4,1446,2.52,43.22
125,Copacabana,4,1419,4.63,88.09
126,Leblon,1,1950,3.0,47.35
127,Barra da Tijuca,3,1136,3.73,33.02
128,Botafogo,4,398,4.03,33.83
129,Botafogo,5,1201,3.92,95.01
130,Copacabana,2,710,4.06,79.43
131,Botafogo,3,1537,4.59,85.51
132,Botafogo,1,215,4.09,70.07
133,Copacabana,3,184,4.95,28.31
134,Botafogo,2,751,3.22,49.97
135,Lapa,3,956,3.6,26.64
136,Ipanema,1,529,3.9,74.56
137,Barra da Tijuca,5,631,4.37,86.92
138,Ipanema,3,923,3.68,73.9
